symbol,name,type,leverage,inverse,category,sector,note
MU,Micron Technology,stock,1,no,top50,Technology,
JPM,JPMorgan Chase,stock,1,no,top50,Financials,
WMT,Walmart,stock,1,no,top50,Consumer,
AMD,Advanced Micro Devices,stock,1,no,top50,Technology,
V,Visa,stock,1,no,top50,Financials,
XOM,Exxon Mobil,stock,1,no,top50,Energy,
JNJ,Johnson & Johnson,stock,1,no,top50,Healthcare,
MA,Mastercard,stock,1,no,top50,Financials,
INTC,Intel,stock,1,no,top50,Technology,
ABBV,AbbVie,stock,1,no,top50,Healthcare,
CSCO,Cisco,stock,1,no,top50,Technology,
BAC,Bank of America,stock,1,no,top50,Financials,
COST,Costco,stock,1,no,top50,Consumer,
AMAT,Applied Materials,stock,1,no,top50,Technology,
LRCX,Lam Research,stock,1,no,top50,Technology,
CVX,Chevron,stock,1,no,top50,Energy,
UNH,UnitedHealth,stock,1,no,top50,Healthcare,
KO,Coca-Cola,stock,1,no,top50,Consumer,
ORCL,Oracle,stock,1,no,top50,Technology,
CAT,Caterpillar,stock,1,no,top50,Industrials,
GE,GE Aerospace,stock,1,no,top50,Industrials,
PG,Procter & Gamble,stock,1,no,top50,Consumer,
HD,Home Depot,stock,1,no,top50,Consumer,
MS,Morgan Stanley,stock,1,no,top50,Financials,
MRK,Merck,stock,1,no,top50,Healthcare,
GS,Goldman Sachs,stock,1,no,top50,Financials,
NFLX,Netflix,stock,1,no,top50,Communication,
PM,Philip Morris,stock,1,no,top50,Consumer,
PLTR,Palantir,stock,1,no,top50,Other,
RTX,RTX Corp,stock,1,no,top50,Industrials,
PANW,Palo Alto Networks,stock,1,no,top50,Technology,
GEV,GE Vernova,stock,1,no,top50,Other,
DELL,Dell Technologies,stock,1,no,top50,Technology,
WFC,Wells Fargo,stock,1,no,top50,Financials,
TXN,Texas Instruments,stock,1,no,top50,Technology,
KLAC,KLA Corp,stock,1,no,top50,Technology,
LIN,Linde,stock,1,no,top50,Materials,
AXP,American Express,stock,1,no,top50,Financials,
C,Citigroup,stock,1,no,top50,Financials,
TSM,Taiwan Semiconductor,stock,1,no,sp500,Other,
PEP,PepsiCo,stock,1,no,sp500,Consumer,
ADBE,Adobe,stock,1,no,sp500,Technology,
CRM,Salesforce,stock,1,no,sp500,Technology,
ACN,Accenture,stock,1,no,sp500,Technology,
QCOM,Qualcomm,stock,1,no,sp500,Technology,
TMO,Thermo Fisher,stock,1,no,sp500,Healthcare,
DIS,Walt Disney,stock,1,no,sp500,Communication,
INTU,Intuit,stock,1,no,sp500,Technology,
CMG,Chipotle,stock,1,no,sp500,Consumer,
MCD,McDonald's,stock,1,no,sp500,Consumer,
PFE,Pfizer,stock,1,no,sp500,Healthcare,
ABT,Abbott Labs,stock,1,no,sp500,Healthcare,
ISRG,Intuitive Surgical,stock,1,no,sp500,Healthcare,
VZ,Verizon,stock,1,no,sp500,Communication,
AMGN,Amgen,stock,1,no,sp500,Healthcare,
HON,Honeywell,stock,1,no,sp500,Industrials,
BKNG,Booking Holdings,stock,1,no,sp500,Consumer,
UNP,Union Pacific,stock,1,no,sp500,Industrials,
COP,ConocoPhillips,stock,1,no,sp500,Energy,
SYK,Stryker,stock,1,no,sp500,Healthcare,
NOW,ServiceNow,stock,1,no,sp500,Technology,
IBM,IBM,stock,1,no,sp500,Technology,
MDLZ,Mondelez,stock,1,no,sp500,Consumer,
SPGI,S&P Global,stock,1,no,sp500,Financials,
DE,Deere,stock,1,no,sp500,Industrials,
NEE,NextEra Energy,stock,1,no,sp500,Utilities,
BLK,BlackRock,stock,1,no,sp500,Financials,
ELV,Elevance Health,stock,1,no,sp500,Healthcare,
ETN,Eaton,stock,1,no,sp500,Industrials,
T,AT&T,stock,1,no,sp500,Communication,
TJX,TJX Companies,stock,1,no,sp500,Consumer,
LOW,Lowe's,stock,1,no,sp500,Consumer,
REGN,Regeneron,stock,1,no,sp500,Healthcare,
SBUX,Starbucks,stock,1,no,sp500,Consumer,
AXON,Axon Enterprise,stock,1,no,sp500,Industrials,
BX,Blackstone,stock,1,no,sp500,Financials,
SCHW,Charles Schwab,stock,1,no,sp500,Financials,
AMT,American Tower,stock,1,no,sp500,RealEstate,
UPS,UPS,stock,1,no,sp500,Industrials,
LMT,Lockheed Martin,stock,1,no,sp500,Industrials,
GILD,Gilead Sciences,stock,1,no,sp500,Healthcare,
CB,Chubb,stock,1,no,sp500,Financials,
MMC,Marsh McLennan,stock,1,no,sp500,Financials,
BA,Boeing,stock,1,no,sp500,Industrials,
GEHC,GE HealthCare,stock,1,no,sp500,Healthcare,
ADI,Analog Devices,stock,1,no,sp500,Technology,
VRTX,Vertex Pharma,stock,1,no,sp500,Healthcare,
FI,Fiserv,stock,1,no,sp500,Financials,
DECK,Deckers Outdoor,stock,1,no,sp500,Consumer,
SMCI,Super Micro Computer,stock,1,no,sp500,Technology,
ANET,Arista Networks,stock,1,no,sp500,Technology,
HCA,HCA Healthcare,stock,1,no,sp500,Healthcare,
CVS,CVS Health,stock,1,no,sp500,Healthcare,
PGR,Progressive,stock,1,no,sp500,Financials,
CI,Cigna,stock,1,no,sp500,Healthcare,
CRWD,CrowdStrike,stock,1,no,sp500,Technology,
ICE,Intercontinental Exchange,stock,1,no,sp500,Financials,
PH,Parker Hannifin,stock,1,no,sp500,Industrials,
EMR,Emerson Electric,stock,1,no,sp500,Industrials,
CDNS,Cadence Design,stock,1,no,sp500,Technology,
ITW,Illinois Tool Works,stock,1,no,sp500,Industrials,
CMCSA,Comcast,stock,1,no,sp500,Communication,
FDX,FedEx,stock,1,no,sp500,Industrials,
MAR,Marriott,stock,1,no,sp500,Consumer,
KKR,KKR & Co,stock,1,no,sp500,Financials,
MCO,Moody's,stock,1,no,sp500,Financials,
CTAS,Cintas,stock,1,no,sp500,Industrials,
SHW,Sherwin-Williams,stock,1,no,sp500,Materials,
COR,Cencora,stock,1,no,sp500,Healthcare,
EXC,Exelon,stock,1,no,sp500,Utilities,
CSX,CSX Corp,stock,1,no,sp500,Industrials,
BMY,Bristol-Myers Squibb,stock,1,no,sp500,Healthcare,
SRE,Sempra,stock,1,no,sp500,Utilities,
WM,Waste Management,stock,1,no,sp500,Other,
SNPS,Synopsys,stock,1,no,sp500,Technology,
MPC,Marathon Petroleum,stock,1,no,sp500,Energy,
GD,General Dynamics,stock,1,no,sp500,Industrials,
NXPI,NXP Semiconductors,stock,1,no,sp500,Technology,
ECL,Ecolab,stock,1,no,sp500,Materials,
CDW,CDW Corp,stock,1,no,sp500,Other,
MCK,McKesson,stock,1,no,sp500,Healthcare,
MET,MetLife,stock,1,no,sp500,Financials,
CNC,Centene,stock,1,no,sp500,Healthcare,
BKR,Baker Hughes,stock,1,no,sp500,Energy,
COF,Capital One,stock,1,no,sp500,Financials,
ORLY,O'Reilly Automotive,stock,1,no,sp500,Consumer,
BSX,Boston Scientific,stock,1,no,sp500,Healthcare,
NEM,Newmont,stock,1,no,sp500,Materials,
ADSK,Autodesk,stock,1,no,sp500,Technology,
O,Realty Income,stock,1,no,sp500,RealEstate,
AJG,Arthur J. Gallagher,stock,1,no,sp500,Financials,
WELL,Welltower,stock,1,no,sp500,RealEstate,
EOG,EOG Resources,stock,1,no,sp500,Energy,
TT,Trane Technologies,stock,1,no,sp500,Industrials,
NSC,Norfolk Southern,stock,1,no,sp500,Industrials,
TFC,Truist Financial,stock,1,no,sp500,Financials,
PCAR,PACCAR,stock,1,no,sp500,Industrials,
TRV,Travelers,stock,1,no,sp500,Financials,
PHM,PulteGroup,stock,1,no,sp500,Industrials,
APD,Air Products,stock,1,no,sp500,Materials,
IT,Gartner,stock,1,no,sp500,Other,
PAYX,Paychex,stock,1,no,sp500,Industrials,
CME,CME Group,stock,1,no,sp500,Financials,
KMB,Kimberly-Clark,stock,1,no,sp500,Consumer,
MSI,Motorola Solutions,stock,1,no,sp500,Other,
LHX,L3Harris,stock,1,no,sp500,Other,
HUM,Humana,stock,1,no,sp500,Healthcare,
FTNT,Fortinet,stock,1,no,sp500,Technology,
AON,Aon,stock,1,no,sp500,Financials,
CHTR,Charter Communications,stock,1,no,sp500,Communication,
DHR,Danaher,stock,1,no,sp500,Healthcare,
TGT,Target,stock,1,no,sp500,Consumer,
CEG,Constellation Energy,stock,1,no,sp500,Utilities,
EXR,Extra Space Storage,stock,1,no,sp500,RealEstate,
KMI,Kinder Morgan,stock,1,no,sp500,Energy,
WMB,Williams Companies,stock,1,no,sp500,Energy,
HAL,Halliburton,stock,1,no,sp500,Energy,
MNST,Monster Beverage,stock,1,no,sp500,Consumer,
HWM,Howmet Aerospace,stock,1,no,sp500,Industrials,
EPAM,EPAM Systems,stock,1,no,sp500,Technology,
BRO,Brown & Brown,stock,1,no,sp500,Financials,
INCY,Incyte,stock,1,no,sp500,Healthcare,
AMP,Ameriprise,stock,1,no,sp500,Financials,
CPRT,Copart,stock,1,no,sp500,Industrials,
FANG,Diamondback Energy,stock,1,no,sp500,Energy,
STZ,Constellation Brands,stock,1,no,sp500,Consumer,
VRSK,Verisk,stock,1,no,sp500,Industrials,
ALGN,Align Technology,stock,1,no,sp500,Healthcare,
DFS,Discover Financial,stock,1,no,sp500,Financials,
LVS,Las Vegas Sands,stock,1,no,sp500,Consumer,
TEAM,Atlassian,stock,1,no,sp500,Other,
MTD,Mettler-Toledo,stock,1,no,sp500,Healthcare,
ODFL,Old Dominion Freight,stock,1,no,sp500,Industrials,
GPN,Global Payments,stock,1,no,sp500,Financials,
VLO,Valero Energy,stock,1,no,sp500,Energy,
PSA,Public Storage,stock,1,no,sp500,RealEstate,
LUV,Southwest Airlines,stock,1,no,sp500,Industrials,
DAL,Delta Air Lines,stock,1,no,sp500,Industrials,
CTVA,Corteva,stock,1,no,sp500,Materials,
PEG,PSEG,stock,1,no,sp500,Utilities,
FAST,Fastenal,stock,1,no,sp500,Industrials,
STT,State Street,stock,1,no,sp500,Financials,
NKE,Nike,stock,1,no,sp500,Consumer,
EXPE,Expedia,stock,1,no,sp500,Consumer,
KDP,Keurig Dr Pepper,stock,1,no,sp500,Consumer,
PAYC,Paycom,stock,1,no,sp500,Other,
FIS,FIS,stock,1,no,sp500,Financials,
GRMN,Garmin,stock,1,no,sp500,Consumer,
ADM,Archer-Daniels-Midland,stock,1,no,sp500,Consumer,
PRU,Prudential,stock,1,no,sp500,Financials,
SBAC,SBA Communications,stock,1,no,sp500,RealEstate,
TYL,Tyler Technologies,stock,1,no,sp500,Technology,
IDXX,IDEXX Labs,stock,1,no,sp500,Healthcare,
IDCC,InterDigital,stock,1,no,sp500,Other,
SYY,Sysco,stock,1,no,sp500,Consumer,
DOW,Dow Inc,stock,1,no,sp500,Materials,
CTRA,Coterra Energy,stock,1,no,sp500,Energy,
ALL,Allstate,stock,1,no,sp500,Financials,
LYB,LyondellBasell,stock,1,no,sp500,Materials,
KEYS,Keysight,stock,1,no,sp500,Technology,
PPG,PPG Industries,stock,1,no,sp500,Materials,
SWKS,Skyworks,stock,1,no,sp500,Technology,
HUBB,Hubbell,stock,1,no,sp500,Other,
JCI,Johnson Controls,stock,1,no,sp500,Industrials,
BALL,Ball Corp,stock,1,no,sp500,Industrials,
K,Kellanova,stock,1,no,sp500,Other,
DOV,Dover,stock,1,no,sp500,Industrials,
EQR,Equity Residential,stock,1,no,sp500,RealEstate,
GWW,W.W. Grainger,stock,1,no,sp500,Industrials,
ALK,Alaska Air,stock,1,no,sp500,Industrials,
ESS,Essex Property,stock,1,no,sp500,RealEstate,
AWK,American Water Works,stock,1,no,sp500,Utilities,
DRI,Darden Restaurants,stock,1,no,sp500,Consumer,
FE,FirstEnergy,stock,1,no,sp500,Utilities,
CMI,Cummins,stock,1,no,sp500,Industrials,
AEE,Ameren,stock,1,no,sp500,Utilities,
DLTR,Dollar Tree,stock,1,no,sp500,Consumer,
IR,Ingersoll Rand,stock,1,no,sp500,Industrials,
TSCO,Tractor Supply,stock,1,no,sp500,Consumer,
HIG,Hartford Financial,stock,1,no,sp500,Financials,
ARE,Alexandria Real Estate,stock,1,no,sp500,RealEstate,
AKAM,Akamai,stock,1,no,sp500,Other,
STX,Seagate,stock,1,no,sp500,Technology,
CHRW,C.H. Robinson,stock,1,no,sp500,Industrials,
FSLR,First Solar,stock,1,no,sp500,Other,
EXPD,Expeditors,stock,1,no,sp500,Industrials,
WEC,WEC Energy,stock,1,no,sp500,Utilities,
WY,Weyerhaeuser,stock,1,no,sp500,RealEstate,
AVB,AvalonBay,stock,1,no,sp500,RealEstate,
BXP,BXP Inc,stock,1,no,sp500,RealEstate,
MAA,Mid-America Apartment,stock,1,no,sp500,RealEstate,
UDR,UDR Inc,stock,1,no,sp500,RealEstate,
KRC,Kilroy Realty,stock,1,no,sp500,RealEstate,
PEAK,"Healthpeak Properties (former ticker, now DOC)",stock,1,no,sp500,RealEstate,
REG,Regency Centers,stock,1,no,sp500,RealEstate,
KIM,Kimco Realty,stock,1,no,sp500,RealEstate,
VTR,Ventas,stock,1,no,sp500,RealEstate,
DOC,Healthpeak,stock,1,no,sp500,RealEstate,
SPG,Simon Property,stock,1,no,sp500,RealEstate,
FRT,Federal Realty,stock,1,no,sp500,RealEstate,
NNN,NNN REIT,stock,1,no,sp500,RealEstate,
ADC,Agree Realty,stock,1,no,sp500,RealEstate,
PLD,Prologis,stock,1,no,sp500,RealEstate,
CUBE,CubeSmart,stock,1,no,sp500,RealEstate,
LSI,Life Storage,stock,1,no,sp500,RealEstate,
COLD,Americold Realty Trust,stock,1,no,sp500,RealEstate,
INH,INDUS Holding AG,stock,1,no,sp500,Other,
IRM,Iron Mountain,stock,1,no,sp500,RealEstate,
CCI,Crown Castle,stock,1,no,sp500,RealEstate,
GLPI,Gaming & Leisure Props,stock,1,no,sp500,RealEstate,
VICI,VICI Properties,stock,1,no,sp500,RealEstate,
LAMR,Lamar Advertising,stock,1,no,sp500,Communication,
OUT,Outfront Media,stock,1,no,sp500,Communication,
OHI,Omega Healthcare,stock,1,no,sp500,RealEstate,
SBRA,Sabra Health Care,stock,1,no,sp500,RealEstate,
CTRE,CareTrust REIT,stock,1,no,sp500,RealEstate,
NHI,National Health Investors,stock,1,no,sp500,RealEstate,
LTC,LTC Properties,stock,1,no,sp500,RealEstate,
HR,Healthcare Realty Trust,stock,1,no,sp500,RealEstate,
CHCT,Community Healthcare Trust,stock,1,no,sp500,RealEstate,
MPW,Medical Properties,stock,1,no,sp500,RealEstate,
GM,General Motors,stock,1,no,sp500,Consumer,
F,Ford,stock,1,no,sp500,Consumer,
CL,Colgate-Palmolive,stock,1,no,sp500,Consumer,
CLX,Clorox,stock,1,no,sp500,Consumer,
CHD,Church & Dwight,stock,1,no,sp500,Consumer,
CSGP,CoStar Group,stock,1,no,sp500,Communication,
FOX,Fox Corp (B),stock,1,no,sp500,Communication,
FOXA,Fox Corp (A),stock,1,no,sp500,Communication,
NWSA,News Corp (A),stock,1,no,sp500,Communication,
NWS,News Corp (B),stock,1,no,sp500,Communication,
LULU,Lululemon,stock,1,no,sp500,Consumer,
SJM,J.M. Smucker,stock,1,no,sp500,Consumer,
LW,Lamb Weston,stock,1,no,sp500,Consumer,
CPB,Campbell's,stock,1,no,sp500,Consumer,
HRL,Hormel Foods,stock,1,no,sp500,Consumer,
MKC,McCormick,stock,1,no,sp500,Consumer,
TAP,Molson Coors,stock,1,no,sp500,Consumer,
BF.B,Brown-Forman,stock,1,no,sp500,Other,
DEO,Diageo,stock,1,no,sp500,Consumer,
BUD,AB InBev,stock,1,no,sp500,Consumer,
BYD,Boyd Gaming,stock,1,no,sp500,Consumer,
LCID,Lucid Group,stock,1,no,sp500,Consumer,
RIVN,Rivian,stock,1,no,sp500,Consumer,
PSNY,Polestar Automotive,stock,1,no,sp500,Other,
NIO,NIO Inc,stock,1,no,sp500,Consumer,
XPEV,XPeng,stock,1,no,sp500,Consumer,
LI,Li Auto,stock,1,no,sp500,Consumer,
BYDDY,BYD Company (ADR),stock,1,no,sp500,Consumer,
VWAGY,Volkswagen AG (ADR),stock,1,no,sp500,Other,
TM,Toyota,stock,1,no,sp500,Consumer,
HMC,Honda,stock,1,no,sp500,Consumer,
MZDAY,Mazda Motor Corp (ADR),stock,1,no,sp500,Other,
FUJHY,Subaru Corp (ADR),stock,1,no,sp500,Other,
ISUZY,Isuzu Motors (ADR),stock,1,no,sp500,Other,
RNSDF,Renault Group (ADR),stock,1,no,sp500,Other,
SGLY,Singularity Future Technology,stock,1,no,sp500,Other,
VOLAF,AB Volvo (ADR),stock,1,no,sp500,Other,
AZO,AutoZone,stock,1,no,sp500,Consumer,
GPC,Genuine Parts,stock,1,no,sp500,Consumer,
BBY,Best Buy,stock,1,no,sp500,Consumer,
WSM,Williams-Sonoma,stock,1,no,sp500,Consumer,
RH,RH,stock,1,no,sp500,Consumer,
BSET,Bassett Furniture Industries,stock,1,no,sp500,Other,
CASY,Casey's,stock,1,no,sp500,Consumer,
MUSA,Murphy USA,stock,1,no,sp500,Consumer,
ENVA,Enova International,stock,1,no,sp500,Other,
FCFS,FirstCash Holdings,stock,1,no,sp500,Other,
CSG,CSG Systems International,stock,1,no,sp500,Other,
WST,West Pharmaceutical,stock,1,no,sp500,Healthcare,
ILMN,Illumina,stock,1,no,sp500,Healthcare,
IQV,IQVIA,stock,1,no,sp500,Healthcare,
WAT,Waters Corp,stock,1,no,sp500,Healthcare,
A,Agilent,stock,1,no,sp500,Healthcare,
DGX,Quest Diagnostics,stock,1,no,sp500,Healthcare,
LH,Labcorp,stock,1,no,sp500,Healthcare,
CRL,Charles River Labs,stock,1,no,sp500,Healthcare,
MED,Medifast,stock,1,no,sp500,Healthcare,
EYE,National Vision Holdings,stock,1,no,sp500,Healthcare,
COO,Cooper Companies,stock,1,no,sp500,Healthcare,
XRAY,Dentsply Sirona,stock,1,no,sp500,Healthcare,
PODD,Insulet,stock,1,no,sp500,Healthcare,
DXCM,Dexcom,stock,1,no,sp500,Healthcare,
EW,Edwards Lifesciences,stock,1,no,sp500,Healthcare,
MDT,Medtronic,stock,1,no,sp500,Healthcare,
TFX,Teleflex,stock,1,no,sp500,Healthcare,
ZBH,Zimmer Biomet,stock,1,no,sp500,Healthcare,
BIO,Bio-Rad,stock,1,no,sp500,Healthcare,
TECH,Bio-Techne,stock,1,no,sp500,Healthcare,
STE,Steris,stock,1,no,sp500,Healthcare,
SWK,Stanley Black & Decker,stock,1,no,sp500,Industrials,
SNA,Snap-on,stock,1,no,sp500,Industrials,
PNR,Pentair,stock,1,no,sp500,Industrials,
AOS,A.O. Smith,stock,1,no,sp500,Industrials,
FELE,Franklin Electric,stock,1,no,sp500,Industrials,
RBC,RBC Bearings,stock,1,no,sp500,Industrials,
LECO,Lincoln Electric,stock,1,no,sp500,Industrials,
NDSN,Nordson,stock,1,no,sp500,Industrials,
HII,Huntington Ingalls,stock,1,no,sp500,Healthcare,
TDY,Teledyne,stock,1,no,sp500,Industrials,
TXT,Textron,stock,1,no,sp500,Industrials,
NOC,Northrop Grumman,stock,1,no,sp500,Industrials,
HEI,HEICO,stock,1,no,sp500,Industrials,
TDG,TransDigm,stock,1,no,sp500,Industrials,
ROP,Roper Technologies,stock,1,no,sp500,Industrials,
WWD,Woodward,stock,1,no,sp500,Industrials,
SPR,Spirit AeroSystems,stock,1,no,sp500,Industrials,
BWXT,BWX Technologies,stock,1,no,sp500,Industrials,
ERJ,Embraer,stock,1,no,sp500,Industrials,
MMM,3M,stock,1,no,sp500,Industrials,
JBHT,J.B. Hunt,stock,1,no,sp500,Industrials,
UAL,United Airlines,stock,1,no,sp500,Industrials,
AAL,American Airlines,stock,1,no,sp500,Industrials,
JBLU,JetBlue,stock,1,no,sp500,Industrials,
SKYW,SkyWest,stock,1,no,sp500,Industrials,
ALGT,Allegiant,stock,1,no,sp500,Industrials,
WAL,Western Alliance,stock,1,no,sp500,Financials,
ZION,Zions Bancorp,stock,1,no,sp500,Financials,
CMA,Comerica,stock,1,no,sp500,Financials,
KEY,KeyCorp,stock,1,no,sp500,Financials,
RF,Regions Financial,stock,1,no,sp500,Financials,
HBAN,Huntington Bancshares,stock,1,no,sp500,Financials,
FITB,Fifth Third,stock,1,no,sp500,Financials,
CFG,Citizens Financial,stock,1,no,sp500,Financials,
USB,U.S. Bancorp,stock,1,no,sp500,Financials,
PNC,PNC Financial,stock,1,no,sp500,Financials,
BK,BNY Mellon,stock,1,no,sp500,Financials,
NTRS,Northern Trust,stock,1,no,sp500,Financials,
BEN,Franklin Resources,stock,1,no,sp500,Financials,
TROW,T. Rowe Price,stock,1,no,sp500,Financials,
IVZ,Invesco,stock,1,no,sp500,Financials,
SEI,SEI Investments,stock,1,no,sp500,Financials,
AMG,Affiliated Managers Group,stock,1,no,sp500,Financials,
EVR,Evercore,stock,1,no,sp500,Financials,
HLNE,Hamilton Lane,stock,1,no,sp500,Financials,
PJT,PJT Partners,stock,1,no,sp500,Financials,
MC,Moelis & Company,stock,1,no,sp500,Financials,
LAZ,Lazard,stock,1,no,sp500,Financials,
PIPR,Piper Sandler,stock,1,no,sp500,Financials,
SF,Stifel,stock,1,no,sp500,Financials,
RJF,Raymond James,stock,1,no,sp500,Financials,
LPLA,LPL Financial,stock,1,no,sp500,Financials,
IBKR,Interactive Brokers,stock,1,no,sp500,Financials,
INFY,Infosys,stock,1,no,sp500,Technology,
WIT,Wipro,stock,1,no,sp500,Technology,
CTSH,Cognizant,stock,1,no,sp500,Technology,
DXC,DXC Technology,stock,1,no,sp500,Technology,
HPE,HP Enterprise,stock,1,no,sp500,Technology,
NTAP,NetApp,stock,1,no,sp500,Technology,
WDC,Western Digital,stock,1,no,sp500,Technology,
MCHP,Microchip,stock,1,no,sp500,Technology,
ON,ON Semiconductor,stock,1,no,sp500,Technology,
QRVO,Qorvo,stock,1,no,sp500,Technology,
PTC,PTC Inc,stock,1,no,sp500,Technology,
AMBA,Ambarella,stock,1,no,sp500,Technology,
DIOD,Diodes Incorporated,stock,1,no,sp500,Technology,
LSCC,Lattice Semiconductor,stock,1,no,sp500,Technology,
POWI,Power Integrations,stock,1,no,sp500,Technology,
RMBS,Rambus,stock,1,no,sp500,Technology,
SITM,SiTime Corporation,stock,1,no,sp500,Technology,
ENTG,Entegris,stock,1,no,sp500,Technology,
MKSI,MKS Instruments,stock,1,no,sp500,Technology,
ASML,ASML,stock,1,no,sp500,Technology,
TOELY,Tokyo Electron (ADR),stock,1,no,sp500,Technology,
TEL,TE Connectivity,stock,1,no,sp500,Technology,
APH,Amphenol,stock,1,no,sp500,Technology,
GLW,Corning,stock,1,no,sp500,Technology,
JBL,Jabil,stock,1,no,sp500,Technology,
SANM,Sanmina,stock,1,no,sp500,Technology,
CTS,CTS Corporation,stock,1,no,sp500,Technology,
AVT,Avnet,stock,1,no,sp500,Technology,
ARW,Arrow Electronics,stock,1,no,sp500,Technology,
WPG,Washington Prime Group,stock,1,no,sp500,Other,
SNX,TD Synnex,stock,1,no,sp500,Technology,
PLUS,ePlus,stock,1,no,sp500,Technology,
CNXN,PC Connection (Connection Inc),stock,1,no,sp500,Technology,
TTEC,TTEC Holdings,stock,1,no,sp500,Technology,
EXLS,ExlService Holdings,stock,1,no,sp500,Technology,
TASK,TaskUs,stock,1,no,sp500,Technology,
IBEX,IBEX Limited,stock,1,no,sp500,Technology,
SRT,StarTek,stock,1,no,sp500,Technology,
CNXC,Concentrix,stock,1,no,sp500,Technology,
INOD,Innodata,stock,1,no,sp500,Technology,
LIVE,Live Ventures,stock,1,no,sp500,Technology,
RDWR,Radware,stock,1,no,sp500,Technology,
PRGS,Progress Software,stock,1,no,sp500,Technology,
QMCO,Quantum Corporation,stock,1,no,sp500,Technology,
PDFS,PDF Solutions,stock,1,no,sp500,Technology,
CEVA,CEVA Inc,stock,1,no,sp500,Technology,
IMMR,Immersion Corporation,stock,1,no,sp500,Technology,
NTCT,NetScout Systems,stock,1,no,sp500,Technology,
AGYS,Agilysys,stock,1,no,sp500,Technology,
PAR,PAR Technology,stock,1,no,sp500,Technology,
VERI,Veritone,stock,1,no,sp500,Technology,
DSP,Viant Technology,stock,1,no,sp500,Technology,
PATH,UiPath,stock,1,no,sp500,Technology,
VRNS,Varonis Systems,stock,1,no,sp500,Technology,
S,SentinelOne,stock,1,no,sp500,Technology,
OKTA,Okta,stock,1,no,sp500,Technology,
NET,Cloudflare,stock,1,no,sp500,Technology,
CHKP,Check Point,stock,1,no,sp500,Technology,
CYBR,CyberArk,stock,1,no,sp500,Technology,
QLYS,Qualys,stock,1,no,sp500,Technology,
TENB,Tenable,stock,1,no,sp500,Technology,
PCYG,Park City Group,stock,1,no,sp500,Other,
APPN,Appian Corporation,stock,1,no,sp500,Technology,
PEGA,Pegasystems,stock,1,no,sp500,Technology,
PRLB,Proto Labs,stock,1,no,sp500,Other,
ASAN,Asana,stock,1,no,sp500,Technology,
DOMO,Domo,stock,1,no,sp500,Technology,
